family,model,context_length,epochs,batch_size,learning_rate,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
baseline,random_forest,,,,,0.0032710632197407025,0.004225781544995867,0.867644865876547,0.0038355029222653853,0.004876816530868513,0.9165939601951361
baseline,persistence,,,,,0.0034961240310077473,0.004396087055023908,0.8567616609388611,0.004030303030303024,0.005081159495448038,0.9094579504862255
deep,lstm,12.0,,32.0,0.001,0.005823529325425625,0.007083475545365066,0.6281057225914253,0.006972571834921837,0.00855106618205762,0.7435721367843828
deep,transformer,12.0,,32.0,0.001,0.005096728447824717,0.0061888187577426425,0.7161151309808294,0.008616987615823746,0.010403935895467613,0.6204054136708769
baseline,linear_regression,,,,,0.010229219612748267,0.012320420911796835,-0.12506547763348275,0.012003978014222668,0.01528272535620245,0.180920072530953
baseline,ridge,,,,,0.009965833329352596,0.012301736783911194,-0.12165570321703822,0.012490697586257076,0.01609761335402873,0.09124324947052054
baseline,cpu_heuristic,,,,,0.01473422048232776,0.018300643117306937,-1.482329405954232,0.015001557905546309,0.018767703232888157,-0.2352274124154694
baseline,moving_average,,,,,454.6995466854775,455.38215337442927,-1537017176.3090618,447.39609018947135,448.1187931517266,-704224257.9407402
